let,VB
discuss,PRP
share,NN
opinion,NN
send,VB
assassin,NN
feudal,NN
japan,NN
notice,RB
sideline,NN
covid,NN
situation,NN
use,VBP
team,NN
like,IN
call,NN
dont,NN
anything,NN
without,IN
?,.
one,CD
eye,NN
mouth,NN
hand,NN
tink,NN
two,CD
got,VBD
behind,IN
surely,RB
next,JJ
choose,NN
among,IN
pinky,JJ
decide,NN
say,JJ
chosen,VBN
guy,NN
sort,NN
road,NN
trust,NN
dismal,JJ
performance,NN
parliament,NN
given,VBN
exposure,JJ
election,NN
raise,NN
profile,NN
also,RB
attend,VBP
overseas,JJ
conference,NN
pandemic,JJ
period,NN
highest,JJS
chance,NN
ho,NN
ching,VBG
leaving,NN
soon,RB
least,JJS
still,RB
post,RB
lar,JJ
know,VB
veil,JJ
n,JJ
matter,NN
people,NNS
get,VB
married,JJ
gone,VBN
earn,JJ
money,NN
main,JJ
forget,VB
need,NN
go,VB
times,NNS
per,IN
year,NN
tell,NN
since,IN
hear,NN
exception,NN
wife,NN
feeling,VBG
stress,NN
working,VBG
concept,NN
self,NN
e,NN
spouse,NN
good,JJ
family,NN
want,VBP
spilt,VBN
ready,JJ
marriage,NN
time,NN
legally,RB
getting,VBG
together,RB
sex,NN
everyday,JJ
wo,MD
change,NN
unless,IN
really,RB
young,JJ
wedding,NN
house,NN
totally,RB
low,JJ
applicable,JJ
dun,NN
see,VBP
thinking,VBG
right,JJ
men,NNS
pay,VB
everything,NN
nowadays,NNS
unable,JJ
cos,NN
useless,JJ
strong,JJ
independent,JJ
marry,NN
must,MD
cough,VB
majority,NN
bit,NN
help,NN
spend,VB
every,DT
cent,NN
responsibility,NN
tat,NN
think,VBP
happier,JJR
coz,JJ
balance,NN
left,VBD
goes,VBZ
pocket,RB
enough,JJ
open,JJ
palm,NN
contribution,NN
case,NN
agreed,VBD
earning,VBG
fair,JJ
total,JJ
much,JJ
ah,NN
suspect,JJ
even,RB
put,NN
account,NN
actually,RB
ownself,PRP
find,VBP
life,NN
plan,VBP
suffer,VBP
dependent,JJ
complain,JJ
honesty,JJ
average,NN
chao,NN
age,NN
old,JJ
monthly,JJ
side,NN
already,RB
therefore,RB
husband,NN
plus,CC
fully,RB
new,JJ
renovation,NN
minimum,NN
telling,VBG
combined,VBN
annual,JJ
finish,JJ
paying,VBG
settle,JJ
difference,NN
living,VBG
household,VBD
month,NN
de,IN
bill,NN
hit,VBD
business,NN
usual,JJ
lack,JJ
properly,RB
scenario,NN
tank,VB
give,JJ
allowance,NN
always,RB
car,NN
!,.
man,NN
traditional,JJ
hence,NN
burn,NN
wrong,RB
luck,NN
pray,VBZ
wan,NN
na,TO
back,VB
action,NN
ur,JJ
empty,JJ
aside,RB
yet,RB
way,NN
lesser,RBR
felt,VBD
job,NN
day,NN
broke,VBD
ways,NNS
cut,VBD
assets,NNS
twice,RB
commitment,NN
contribute,VB
dual,JJ
income,NN
bo,VB
ko,VB
wipe,NN
longer,RB
buy,NN
wah,NN
thought,VBD
term,NN
better,RBR
advise,NN
fast,RB
mentally,RB
suck,VBD
away,RB
stupid,JJ
symbolic,JJ
usually,RB
hotel,NN
banquet,NN
studio,NN
shoot,NN
photographer,NN
video,NN
crew,NN
branded,VBD
holiday,NN
honeymoon,NN
diamond,NN
feel,NN
worth,NN
split,VB
click,JJ
expand,NN
bite,VBP
chew,JJ
end,NN
live,VBP
within,IN
lo,JJ
society,NN
though,IN
friend,NN
ex,VBZ
colleague,JJ
different,JJ
department,NN
selling,VBG
ideology,JJ
arrangement,NN
hearsay,NN
sell,VBP
maybe,RB
tong,JJ
sure,JJ
oh,JJ
please,NN
whenever,WRB
struggle,NN
fault,NN
wonder,NN
stressful,JJ
prepare,JJ
education,NN
else,RB
advantage,NN
compare,NN
dowry,NN
singles,NNS
song,NN
problem,NN
sense,NN
possible,JJ
flawed,VBN
mean,JJ
understand,VBP
coming,VBG
ta,JJ
face,NN
reality,NN
era,NN
r,NN
last,JJ
person,NN
salary,JJ
feed,NN
whole,JJ
pax,NN
nothing,NN
survive,JJ
amount,NN
may,MD
ever,RB
added,VBD
single,JJ
event,NN
source,NN
long,RB
die,NN
true,JJ
come,VBN
never,RB
school,NN
type,RB
personal,JJ
demand,NN
joint,NN
monitor,NN
spending,NN
lot,NN
quite,RB
expensive,JJ
somehow,NN
suffering,VBG
willing,JJ
worse,RBR
taking,VBG
kind,NN
stay,VBD
home,RB
take,NN
care,NN
fine,JJ
however,RB
dote,VB
selfish,NN
truly,RB
hard,JJ
save,NN
seem,VB
add,NN
ala,RB
carte,VBZ
trip,NN
dentist,NN
vet,NN
thread,NN
ponder,NN
expansive,JJ
refer,NN
work,NN
wat,NN
bank,NN
mutual,JJ
discussion,NN
partner,NN
amt,JJ
mainly,RB
course,NN
comfortable,JJ
ahead,RB
doesnt,JJ
housework,NN
financial,JJ
likely,JJ
saving,NN
thrifty,NN
u,JJ
rich,JJ
deposit,NN
instead,RB
irresponsible,JJ
father,NN
stone,CD
death,NN
provided,VBN
anyhow,NN
process,NN
remember,VB
cost,NN
less,JJR
sky,NN
limit,NN
talk,NN
package,NN
dust,NN
table,NN
import,NN
hole,NN
cover,JJ
make,VBP
